sample_id,sampling_tier,source_baseline,record_id,doi,paper_title,route,formulation_label,policy_level,policy_first_verified,pipeline_status_v4,failure_reasons_v4,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,device,study_type,barrier,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,key_table_figure_to_check,paper_link,card_path,gold_api_correct,gold_concentration_correct,gold_device_correct,gold_endpoint_kind_correct,gold_endpoint_time_correct,gold_membrane_correct,gold_endpoint_value_correct,gold_endpoint_value_note,gold_excipient_correct,gold_receptor_medium_correct,gold_dose_type_correct,gold_scope_correct,gold_value_correct,gold_keep_record,gold_notes
R2-063,tier2_gpt_v4_unresolved_stratified,gpt,record_ac4b338144c7,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,mixed,Ibuprofen 200 um,never,never,unresolved,insufficient_evidence,unknown,0.76,%,6,hours,,,Ibuprofen,,,,,Franz diffusion cell,IVPT,bovine split skin,bovine split skin,,200,,,296 g,1.77,"Table 1; page(s): 2, 3, 4, 5, 6",https://doi.org/10.1186/2050-6511-13-5,gold_set_round2_record_cards\R2-063_record_ac4b338144c7.md,yes,no,yes,yes,yes,yes,no,endpoint value and unit not correct,yes,no,no,no,yes,no,"concentration was not extracted, it states 10 mg/L (1.0%w/v); dose type is infinite dose; recepter medium is PBS ph 7.4"
R2-064,tier2_gpt_v4_unresolved_stratified,gpt,record_b21caddad006,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,mixed,Ibuprofen 200 um,never,never,unresolved,insufficient_evidence,unknown,0.28,cm/s,6,hours,,,Ibuprofen,,,,,Franz diffusion cell,IVPT,bovine split skin,bovine split skin,,200,,,296 g,1.77,"Table 1; page(s): 2, 3, 4, 5, 6",https://doi.org/10.1186/2050-6511-13-5,gold_set_round2_record_cards\R2-064_record_b21caddad006.md,yes,no,yes,yes,yes,yes,no,endpoint value and unit not correct,yes,no,no,no,yes,no,"concentration was not extracted, it states 10 mg/L (1.0%w/v); dose type is infinite dose; recepter medium is PBS ph 7.4"
R2-065,tier2_gpt_v4_unresolved_stratified,gpt,record_504c0645a368,10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,table,Ibuprofen Foam Dressing,never,never,unresolved,insufficient_evidence,amount_per_area,0.5,mg/cm2,0,days,500,ug/cm^2,Ibuprofen,0.5,mg/cm2,Active ingredient,0.5 mg/cm2,,both,venous leg ulcers,venous leg ulcers,,,,finite,0.5 mg/cm2,10,"Table 2; page(s): 3, 14, 17, 26, 47",https://doi.org/10.1002/14651858.cd001177.pub2,gold_set_round2_record_cards\R2-065_record_504c0645a368.md,yes,no,n/a,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,no,no,no,"It is a summary of data from real-world human clinical trials (RCTs); therefore, it does not include experimental instrument parameters from in vitro transdermal absorption studies, but rather clinical efficacy parameters."
R2-066,tier2_gpt_v4_unresolved_stratified,gpt,record_d44a8caf44a3,10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,table,Ibuprofen Foam Dressing,never,never,unresolved,insufficient_evidence,amount_per_area,0.5,mg/cm2,0,days,500,ug/cm^2,Ibuprofen,0.5,mg/cm2,Active ingredient,0.5 mg/cm2,,both,venous leg ulcers,venous leg ulcers,,,,finite,0.5 mg/cm2,10,"Table 2; page(s): 3, 14, 17, 26, 47",https://doi.org/10.1002/14651858.cd001177.pub2,gold_set_round2_record_cards\R2-066_record_d44a8caf44a3.md,yes,no,n/a,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,no,no,no,"It is a summary of data from real-world human clinical trials (RCTs); therefore, it does not include experimental instrument parameters from in vitro transdermal absorption studies, but rather clinical efficacy parameters."
R2-067,tier2_gpt_v4_unresolved_stratified,gpt,record_973925f56245,10.21203/rs.3.rs-3773667/v1,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,table,Sample B,never,never,unresolved,insufficient_evidence,amount_total,239,ug/g,14,days,239,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,1 mg/cm2,,IVRT,cotton fabric with hydrophobic drug cover layer,Cotton Fabric,Modified Cotton,,PBS,infinite,1 mg/cm2,1,"Table 4; page(s): 3, 5, 9, 13, 17",https://doi.org/10.21203/rs.3.rs-3773667/v1,gold_set_round2_record_cards\R2-067_record_973925f56245.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,yes,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. "
R2-068,tier2_gpt_v4_unresolved_stratified,gpt,record_56fa9eac1385,10.21203/rs.3.rs-3773667/v1,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,table,Sample C,never,never,unresolved,insufficient_evidence,amount_total,209,ug/g,14,days,209,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,1 mg/cm2,,IVRT,cotton fabric with hydrophobic drug cover layer,Cotton Fabric,Modified Cotton,,PBS,infinite,1 mg/cm2,1,"Table 4; page(s): 3, 5, 9, 13, 17",https://doi.org/10.21203/rs.3.rs-3773667/v1,gold_set_round2_record_cards\R2-068_record_56fa9eac1385.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,yes,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. "
R2-069,tier2_gpt_v4_unresolved_stratified,gpt,record_b19ebae807b2,10.21203/rs.3.rs-3773667/v1,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,table,Sample E,never,never,unresolved,insufficient_evidence,amount_total,239,ug/g,14,days,239,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,1 mg/cm2,,IVRT,cotton fabric with hydrophobic drug cover layer,Cotton Fabric,Modified Cotton,,PBS,infinite,1 mg/cm2,1,"Table 4; page(s): 3, 5, 9, 13, 17",https://doi.org/10.21203/rs.3.rs-3773667/v1,gold_set_round2_record_cards\R2-069_record_b19ebae807b2.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,yes,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. "
R2-070,tier2_gpt_v4_unresolved_stratified,gpt,record_2a2672953a1d,10.3390/membranes13030355,Removal of Typical PPCPs by Reverse Osmosis Membranes: Optimization of Treatment Process by Factorial Design.,table,IBU removal,never,never,unresolved,insufficient_evidence,amount_total,0,mg,6,h,0,ug/cm^2,ibuprofen,0,mg/L,max_stable,0 mg/L,,IVRT,reverse osmosis membrane,RO,unknown,0.22,unknown,finite,100 mg/L,24,"Table 2; page(s): 1, 3, 5, 7, 9",https://doi.org/10.3390/membranes13030355,gold_set_round2_record_cards\R2-070_record_2a2672953a1d.md,no,no,no,no,no,no,no,n/a,no,no,N/A,no,no,no,This article falls under the field of Environmental Engineering and Water Treatment and investigates how to use reverse osmosis (RO) membrane technology to remove pharmaceutical contaminants such as ibuprofen from water. It does not align with our scope.
R2-071,tier2_gpt_v4_unresolved_stratified,gpt,record_6a7eb23c8774,10.3390/membranes13030355,Removal of Typical PPCPs by Reverse Osmosis Membranes: Optimization of Treatment Process by Factorial Design.,table,IBU removal,never,never,unresolved,insufficient_evidence,amount_total,500,ug,6,h,20.83333333,ug/cm^2,ibuprofen,500,ug/L,influents,500 ug/L,,IVRT,reverse osmosis membrane,RO,unknown,0.22,unknown,finite,100 mg/L,24,"Table 2; page(s): 1, 3, 5, 7, 9",https://doi.org/10.3390/membranes13030355,gold_set_round2_record_cards\R2-071_record_6a7eb23c8774.md,no,no,no,no,no,no,no,n/a,no,no,N/A,no,no,no,This article falls under the field of Environmental Engineering and Water Treatment and investigates how to use reverse osmosis (RO) membrane technology to remove pharmaceutical contaminants such as ibuprofen from water. It does not align with our scope.
R2-072,tier2_gpt_v4_unresolved_stratified,gpt,record_c12134a7f2e9,10.1186/s13065-022-00901-2,"Synthesis, in silico studies and biological screening of (E)-2-(3-(substitutedstyryl)-5-(substitutedphenyl)-4,5-dihydropyrazol-1-yl)benzo[d]thiazole derivatives as an anti-oxidant, anti-inflammatory and antimicrobial agents.",table,Ibuprofen,never,never,unresolved,insufficient_evidence,unknown,0.11,umol/ml,3,hr,,,Ibuprofen,,,,,,IVPT,,,human,8.43,,,500 ug,,"Table 2; page(s): 1, 4, 8, 9, 11",https://doi.org/10.1186/s13065-022-00901-2,gold_set_round2_record_cards\R2-072_record_c12134a7f2e9.md,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,no,no,"In this article, ibuprofen is not the subject of the study (API) nor has it been formulated into any dosage form or dressing. Its role is that of a **“standard drug / positive control”**, used to assess the anti-inflammatory activity of newly synthesized compounds."
R2-073,tier2_gpt_v4_unresolved_stratified,gpt,record_841675c590bd,10.3390/molecules28207156,"In Vitro Assessment of the Antidiabetic and Anti-Inflammatory Potential of <i>Artemisia absinthium, Artemisia vulgaris</i> and <i>Trigonella foenum-graecum</i> Extracts Processed Using Membrane Technologies.",table,Ibuprofen,never,never,unresolved,insufficient_evidence,unknown,20.2,ug/mL,0,,,,Ibuprofen,5.7,ug/mL,IC50,5.7 0.2,,IVPT,,,porcine,7.7,,,20.1 G,,"Table 4; page(s): 3, 4, 7, 12, 13",https://doi.org/10.3390/molecules28207156,gold_set_round2_record_cards\R2-073_record_841675c590bd.md,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,no,no,"Ibuprofen is not the drug under study here, but rather serves as the “standard drug/positive control” in in vitro anti-inflammatory biochemical experiments."
R2-074,tier2_gpt_v4_unresolved_stratified,gpt,record_6ad4079b03f5,10.1007/s13346-022-01182-x,Soluplus<sup></sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,table,SNM-IBU1,never,never,unresolved,insufficient_evidence; missing_area,amount_total,53,%,4,h,,,Ibuprofen,0.5,% w/v,w/v,0.5% w/v ibuprofen,,IVPT,Soluplus nanomicelles,Soluplus nanomicelles,,0.2,,finite,50 mg,,"Table 5; page(s): 1, 4, 10, 11, 14",https://doi.org/10.1007/s13346-022-01182-x,gold_set_round2_record_cards\R2-074_record_6ad4079b03f5.md,yes,yes,no,no,yes,no,no,"In in vitro dialysis studies, Soluplus micelles exhibited excellent zero-order/first-order mixed release characteristics. After 24 hours, ibuprofen achieved approximately 74% steady-state linear release without any dangerous peak release phenomena.",no,no,n/a,no,no,no,"In this article, the focus is not on the transdermal absorption of ibuprofen (IBU)."
R2-075,tier2_gpt_v4_unresolved_stratified,gpt,record_c13a8cda365e,10.1007/s13346-022-01182-x,Soluplus<sup></sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,table,SNM-IBU1,never,never,unresolved,insufficient_evidence; missing_area,amount_total,74,%,24,h,,,Ibuprofen,0.5,% w/v,w/v,0.5% w/v ibuprofen,,IVPT,Soluplus nanomicelles,Soluplus nanomicelles,,0.2,,finite,50 mg,,"Table 5; page(s): 1, 4, 10, 11, 14",https://doi.org/10.1007/s13346-022-01182-x,gold_set_round2_record_cards\R2-075_record_c13a8cda365e.md,yes,yes,no,no,yes,no,no,"In in vitro dialysis studies, Soluplus micelles exhibited excellent zero-order/first-order mixed release characteristics. After 24 hours, ibuprofen achieved approximately 74% steady-state linear release without any dangerous peak release phenomena.",no,no,n/a,no,no,no,"In this article, the focus is not on the transdermal absorption of ibuprofen (IBU)."
R2-076,tier2_gpt_v4_unresolved_stratified,gpt,record_8755ab5ac908,10.1007/s13346-022-01182-x,Soluplus<sup></sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,table,SNM-IBU2,never,never,unresolved,insufficient_evidence; missing_area,amount_total,74,%,24,h,,,Ibuprofen,0.5,% w/v,w/v,0.5% w/v ibuprofen,,IVPT,Soluplus nanomicelles,Soluplus nanomicelles,,0.2,,finite,50 mg,,"Table 5; page(s): 1, 4, 10, 11, 14",https://doi.org/10.1007/s13346-022-01182-x,gold_set_round2_record_cards\R2-076_record_8755ab5ac908.md,yes,yes,no,no,yes,no,no,"In in vitro dialysis studies, Soluplus micelles exhibited excellent zero-order/first-order mixed release characteristics. After 24 hours, ibuprofen achieved approximately 74% steady-state linear release without any dangerous peak release phenomena.",no,no,n/a,no,no,no,"In this article, the focus is not on the transdermal absorption of ibuprofen (IBU)."
R2-077,tier2_gpt_v4_unresolved_stratified,gpt,record_3388a279c7e8,10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,figure,12% PCL-IBU,never,never,unresolved,insufficient_evidence,amount_total,4,mg,62,days,4000,ug/cm^2,Ibuprofen,4,mg/ml,w/v,4 mg/ml,,IVRT,polycaprolactone fibrous mats,,,,,,,1,"6; Table 1; page(s): 2, 4, 6, 7, 10, 11",https://doi.org/10.1038/s41598-020-74885-1,gold_set_round2_record_cards\R2-077_record_3388a279c7e8.md,yes,no,n/a,no,yes,n/a,no,n/a,yes,no,n/a,no,no,no,This study focuses on using ibuprofen as a model drug to develop a novel wound dressing or tissue engineering scaffold capable of **prolonged sustained drug release without dangerous “sudden release”**. This is outside the scope of our study.
R2-078,tier2_gpt_v4_unresolved_stratified,gpt,record_94487029ac2e,10.1172/jci2614,Ibuprofen inhibits cystic fibrosis transmembrane conductance regulator-mediated Cl- secretion.,figure,500 uM Ibuprofen,never,never,unresolved,insufficient_evidence,amount_total,35.55194855,ng,10,mM,0.107733177,ug/cm^2,Ibuprofen,500,uM,molar,500 uM,,both,human colonic and airway epithelia,,,,,,,0.33,"1; Table 2; page(s): 2, 3, 4, 5, 6",https://doi.org/10.1172/jci2614,gold_set_round2_record_cards\R2-078_record_94487029ac2e.md,yes,yes,no,no,no,no,no,n/a,n/a,n/a,n/a,no,no,no,"This study on Ibuprofen does not examine its transdermal absorption or formulation solubility, but rather its direct inhibitory effect on epithelial cell ion channels (specifically the CFTR chloride channel associated with cystic fibrosis). This is outside the scope of our study."
R2-079,tier2_gpt_v4_unresolved_stratified,gpt,record_161a7275a03e,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,6.78,mg/cm2,6,hours,6780,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-079_record_161a7275a03e.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-080,tier2_gpt_v4_unresolved_stratified,gpt,record_5020cd3721bb,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,5.67,mg/cm2,5,hours,5670,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-080_record_5020cd3721bb.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-081,tier2_gpt_v4_unresolved_stratified,gpt,record_56905c334e84,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,1.23,mg/cm2,1,hours,1230,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-081_record_56905c334e84.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-082,tier2_gpt_v4_unresolved_stratified,gpt,record_5a7c814731a3,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,3.45,mg/cm2,3,hours,3450,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-082_record_5a7c814731a3.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-083,tier2_gpt_v4_unresolved_stratified,gpt,record_5d8638739de7,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,1.23,mg/cm2,3,D,1230,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; Page 11, section 3.1 describes the average IBU amount permeated over time.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-083_record_5d8638739de7.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-084,tier2_gpt_v4_unresolved_stratified,gpt,record_8452491461ab,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,1.23,mg/cm2,0.5,hours,1230,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; Page 11, section 3.1 describes the average IBU amount permeated over time.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-084_record_8452491461ab.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-085,tier2_gpt_v4_unresolved_stratified,gpt,record_aeecd0d08d28,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,4.56,mg/cm2,4,hours,4560,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-085_record_aeecd0d08d28.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-086,tier2_gpt_v4_unresolved_stratified,gpt,record_c3546a6dfa5f,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,7.89,mg/cm2,7,hours,7890,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-086_record_c3546a6dfa5f.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-087,tier2_gpt_v4_unresolved_stratified,gpt,record_cf75fe70f7e7,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,2.34,mg/cm2,2,hours,2340,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-087_record_cf75fe70f7e7.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-088,tier2_gpt_v4_unresolved_stratified,gpt,record_d9ccefdc9f5c,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,never,never,unresolved,source_context_inconsistent,amount_per_area,9,mg/cm2,8,hours,9000,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,Silicone,synthetic,130,Phosphate buffer (pH 7.2),finite,1 mL,3.14,"Table 1; Page 5, mentions the design being similitude of a Franz cell.; page(s): 5, 8, 9, 10, 11",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-088_record_d9ccefdc9f5c.md,yes,yes,no,yes,no,yes,no,"the endpoint shown in the Figure 11(a), and the value is around 200 ug/mL.",yes,yes,no,no,no,no,"The author used fused filament fabrication (FFF) 3D printing technology, along with polylactic acid (PLA) filament and a quartz viewing window, to fabricate a novel diffusion cell capable of real-time UV imaging. The endpoint value is shown in Figure 11(a). Dose type is infinite dose."
R2-089,tier2_gpt_v4_unresolved_stratified,gpt,record_5bc4d003491f,10.1016/j.ijpharm.2016.03.043,"A comparative study of the in vitro permeation of ibuprofen in mammalian skin, the PAMPA model and silicone membrane.",figure,IBUGEL (Ibuprofen 5% w/w),never,never,unresolved,source_context_inconsistent,amount_per_area,90,ug/cm2,10,min,90,ug/cm^2,ibuprofen,5,% w/w,w/w,5%,Franz diffusion cell,IVPT,"human skin, porcine skin, silicone membrane, PAMPA",human skin,human,5,,finite,18 g,1,"Table 1; PAGE 5; page(s): 2, 4, 6, 11, 12, 5",https://doi.org/10.1016/j.ijpharm.2016.03.043,gold_set_round2_record_cards\R2-089_record_5bc4d003491f.md,yes,yes,yes,yes,no,yes,no,"the endpoint shown in the Figure 1(Human skin(A), Porcine skin (B), Silicone membrane (C), Skin PAMPA (D)), and Human skin, endpoint time is 48h, value is 11~39 ug/cm^2; Porcine skin, time is 48h, value is 59~81 ug/cm^2; Silicone membrane time is 6h, value is 140 ug/cm^2; Skin PAMPA time is 6h, value is 91~136 ug/cm^2.",yes,no,yes,no,no,no,"This paper uses Ibuprofen as a model drug to explore a critical issue in the pharmaceutical industry: In vitro experiments, which type of “artificial skin” most accurately mimics real human skin? The endpoints are recorded in Figure 1, but the positioning is not accurate and the data has not been captured correctly."
